iter	Passed	Remaining
0	540	75190
1	568	39205
2	829	37890
3	958	32597
4	1340	36195
5	1540	34398
6	2019	38369
7	4354	71841
8	5219	75966
9	5453	70891
10	5564	65257
11	5791	61773
12	6232	60884
13	6388	57492
14	6715	55963
15	7218	55946
16	7466	54023
17	7473	50654
18	8070	51393
19	10068	60411
20	10637	60279
21	11531	61851
22	12206	62092
23	12563	60721
24	12804	58899
25	13161	57707
26	13513	56556
27	14179	56717
28	14411	55159
29	14701	53906
30	18179	63920
31	19067	64351
32	19541	63363
33	20310	63321
34	20828	62486
35	21242	61368
36	21409	59600
37	21530	57792
38	21662	56100
39	21819	54547
40	21916	52920
41	22040	51428
42	22152	49972
43	22252	48550
44	22360	47204
45	22442	45860
46	22492	44507
47	22586	43290
48	22697	42152
49	22935	41284
50	23087	40289
51	23145	39169
52	23278	38211
53	23354	37194
54	23459	36255
55	23567	35351
56	23668	34464
57	23769	33605
58	23870	32771
59	23953	31937
60	24044	31139
61	24118	30342
62	24202	29580
63	24288	28842
64	24366	28114
65	24456	27420
66	24537	26735
67	24647	26096
68	24773	25491
69	24889	24889
70	24967	24264
71	25120	23724
72	25268	23191
73	25301	22566
74	25406	22018
75	25480	21457
76	25555	20909
77	25672	20406
78	25838	19950
79	26182	19637
80	26479	19287
81	26654	18853
82	26996	18539
83	27328	18218
84	27498	17793
85	27675	17377
86	27960	17033
87	28269	16704
88	28500	16331
89	28680	15933
90	28836	15527
91	28964	15111
92	29084	14698
93	29132	14256
94	29219	13840
95	29407	13478
96	29536	13093
97	29625	12696
98	29991	12420
99	30153	12061
100	30216	11667
101	30373	11315
102	30536	10969
103	30715	10632
104	30883	10294
105	30997	9942
106	31082	9586
107	31147	9228
108	31194	8871
109	31200	8509
110	31262	8167
111	31318	7829
112	31398	7502
113	31476	7178
114	32217	7003
115	32617	6748
116	32701	6428
117	32802	6115
118	32824	5792
119	32851	5475
120	32882	5163
121	32997	4868
122	33076	4571
123	33176	4280
124	33290	3994
125	33374	3708
126	33436	3422
127	33524	3142
128	33682	2872
129	33777	2598
130	33908	2329
131	33987	2059
132	34017	1790
133	34069	1525
134	34158	1265
135	34176	1005
136	34276	750
137	34379	498
138	34511	248
139	34599	0
